酒店名称,评论日期,评论内容,入住房型,主题,评论对主题贡献度,主题关键字,评论分词,评价方面,酒店编号,emotional_value,index,情感等级
H02,2020-01-01,酒店还不错，早餐很好，品类和品质都令人满意。游泳池还可以，刚一进去感觉有些冷，下水游上一会就好很多了。整体比较满意，推荐！,高级大床房,0.0,0.6819000244140625,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['不错', '早餐', '品类', '品质', '令人满意', '游泳池', '刚一', '感觉', '冷', '下水', '游', '一会', '整体', '比较满意', '推荐']",服务,2,2.0,873,4
H02,2020-01-01,酒店位置很好，房间很大，床很舒服，性价比很高,高级大床房,5.0,0.8924999833106995,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['位置', '房间', '很大', '床', '舒服', '性价比', '高']",性价比,2,1.0,874,2
H02,2020-01-01,酒店位置，酒店基础设施都没的说，很棒。,高级大床房,2.0,0.4329999983310699,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['位置', '基础设施', '的说', '很棒']",位置,2,1.0,875,2
H02,2020-01-01,入住很好，肖宇玲服务很好,高级大床房,1.0,0.7617999911308289,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['入住', '肖宇玲', '服务']",卫生,2,1.5,876,3
H02,2020-01-01,酒店位置很好 服务生有礼貌 感谢小莫,高级大床房,4.0,0.7110999822616577,"房, 旅游, 服務, 时, 房间, 好评, 游玩, 套房, 选择, 订","['位置', '服务生', '礼貌', '感谢', '小莫']",设施,2,2.0,877,4
H02,2020-01-01,酒店还不错，干净整洁房间大,高级双床房,1.0,0.5831000208854675,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['不错', '干净', '整洁', '房间']",卫生,2,1.0,878,2
H02,2020-01-01,还不错 升级了房间,高级大床房,0.0,0.4598999917507171,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['不错', '升级', '房间']",服务,2,1.5,879,3
H02,2020-01-01,酒店前台宇行服务好，酒店不错,高级大床房,5.0,0.5382000207901001,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['宇行', '服务', '不错']",性价比,2,1.5,880,3
H02,2020-01-01,我在酒店住的非常舒服，非常满意，前台颜涵小姐姐服务很到位，很亲切！棒棒哒！,高级大床房,1.0,0.9160000085830688,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['住', '舒服', '满意', '颜涵', '小姐姐', '服务', '到位', '亲切', '棒棒', '哒']",卫生,2,3.0,881,5
H02,2020-01-01,第一次入住，免费升级了湾景豪大，住着舒服，干净，安静，值得推荐,高级湾景大床房,3.0,0.4392000138759613,"住, 舒服, 房间, 感觉, 入住, 性价比, 下次, 太, 床, 高","['第一次', '入住', '免费', '升级', '湾景', '豪大', '住', '舒服', '干净', '安静', '值得', '推荐']",性价比,2,5.0,882,5
H02,2020-01-01,前台小夏服务态度好早餐不错还有停车位还送了小礼品,高级大床房,5.0,0.4242999851703644,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['夏', '服务态度', '早餐', '不错', '停车位', '送', '礼品']",性价比,2,1.5,883,3
H02,2020-01-01,前台李爽服务好，酒店很不错,高级大床房,5.0,0.7217000126838684,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['李爽', '服务', '不错']",性价比,2,1.5,884,3
H02,2020-01-01,服务很好，服务不错，感谢服务大使肖宇玲。,高级双床房,1.0,0.6833000183105469,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['服务', '服务', '不错', '感谢', '服务', '大使', '肖宇玲']",卫生,2,1.0,885,2
H02,2020-01-01,位置很好，服务生有礼貌。感谢小莫！,高级大床房,4.0,0.7113000154495239,"房, 旅游, 服務, 时, 房间, 好评, 游玩, 套房, 选择, 订","['位置', '服务生', '礼貌', '感谢', '小莫']",设施,2,2.0,886,4
H02,2020-01-01,早餐一般吧,高级大床房,5.0,0.5709999799728394,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高",['早餐'],性价比,2,1.5,887,3
