酒店名称,评论日期,评论内容,入住房型,主题,评论对主题贡献度,主题关键字,评论分词,评价方面,酒店编号,emotional_value,index,情感等级
H37,2020-01-01,房间很大，干净。景色一流。,高级大床房,5.0,0.6622999906539917,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['房间', '很大', '干净', '景色', '一流']",性价比,37,1.0,17118,2
H37,2020-01-01,lucky服务好good,高级双床房,1.0,0.5706999897956848,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住",['服务'],卫生,37,1.5,17119,3
H37,2020-01-01,早餐较丰富，有中西式早餐。建议中，西早餐放同一位置。,高级大床房,5.0,0.4981000125408172,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['早餐', '有中', '西式早餐', '建议', '中', '西', '早餐', '放', '位置']",性价比,37,1.5,17120,3
H37,2020-01-01,环境很好，设备很齐全，附近商圈热闹，下次还会入住,高级大床房,5.0,0.515999972820282,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['环境', '设备', '齐全', '商圈', '热闹', '下次', '入住']",性价比,37,1.0,17121,2
H37,2020-01-03,如果仅仅作为一个普通酒店我觉得能给3.5星，作为一个5星酒店设施老旧给2星，前台和餐厅服务态度给1星，卫生很一般，浴缸很明显的黄色东西和痰一样，还有那个浴巾也有一坨黄色东西那个下午茶真心垃圾，基本没啥东西吃还收费那么贵给1星，综合给这个5星酒店2颗星,高级大床房,6.0,0.6618000268936157,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验","['星', '星', '酒店设施', '旧', '星', '餐厅', '服务态度', '星', '卫生', '浴缸', '黄色', '东西', '痰', '浴巾', '坨', '黄色', '东西', '下午茶', '真心', '垃圾', '东西', '吃', '收费', '贵', '星', '综合', '星', '颗星']",设施,37,-3.0,17122,1
H37,2020-01-03,来住了三天房间很大 服务不错夜床服务很贴心，还赠送了入住水果 前台lucky小姐姐很可爱，感觉就像回家了一样,高级大床房,1.0,0.5188000202178955,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['来住', '三天', '房间', '很大', '服务', '不错', '夜床', '服务', '贴心', '赠送', '入住', '水果', '小姐姐', '可爱', '感觉', '回家']",卫生,37,1.0,17123,2
H37,2020-01-03,**地标建筑，干净。,高级大床房,2.0,0.3122999966144562,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['地标', '建筑', '干净']",位置,37,1.5,17124,3
H37,2020-01-04,老牌五星级酒店，比较正规,东方套房,2.0,0.785099983215332,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['老牌', '五星级', '正规']",位置,37,1.0,17125,2
H37,2020-01-08,非常不错的住宿体验！,高级大床房,0.0,0.6262000203132629,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['不错', '住宿', '体验']",服务,37,1.5,17126,3
H37,2020-01-11,空调很热哦,豪华双床房,6.0,0.7142999768257141,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验","['空调', '热']",设施,37,1.5,17127,3
H37,2020-01-12,不错，50楼的夜景，房间够大。床铺舒服。,豪华双床房,2.0,0.6340000033378601,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['不错', '楼', '夜景', '房间', '够', '床铺', '舒服']",位置,37,1.0,17128,2
H37,2020-01-12,酒店附近是商业区，吃喝玩逛很方便,高级双床房,1.0,0.3808000087738037,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['商业区', '吃喝', '玩', '逛']",卫生,37,1.5,17129,3
H37,2020-01-12,服务态度好美金,豪华大床房,6.0,0.711899995803833,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验","['服务态度', '美金']",设施,37,1.5,17130,3
H37,2020-01-12,地点**正中心，但是交通太拥堵了，出入拥堵的交通，酒店高层视野好，但是酒店卫生情况并不好！床有虫子，地毯和窗帘都有污渍。,高级双床房,4.0,0.4050000011920929,"房, 旅游, 服務, 时, 房间, 好评, 游玩, 套房, 选择, 订","['地点', '正', '中心', '交通', '太', '拥堵', '出入', '拥堵', '交通', '高层', '视野', '卫生', '情况', '不好', '床', '虫子', '地毯', '窗帘', '污渍']",设施,37,-2.0,17131,1
H37,2020-01-12,住過超過十次，購物中心購物方便，附近有很多美食,高级大床房,4.0,0.9043999910354614,"房, 旅游, 服務, 时, 房间, 好评, 游玩, 套房, 选择, 订","['住', '過', '超過', '十次', '購物', '中心', '購物', '美食']",设施,37,1.5,17132,3
H37,2020-01-12,环境不错！服务态度好美金,豪华大床房,5.0,0.8241000175476074,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['环境', '不错', '服务态度', '美金']",性价比,37,1.5,17133,3
H37,2020-01-13,Helen很不错 前台的服务态度很好 还可以升级房间,高级大床房,5.0,0.6304000020027161,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['不错', '服务态度', '很好', '升级', '房间']",性价比,37,1.5,17134,3
H37,2020-01-13,非常好，很有品味的酒店,高级大床房,4.0,0.5712000131607056,"房, 旅游, 服務, 时, 房间, 好评, 游玩, 套房, 选择, 订",['品味'],设施,37,1.0,17135,2
H37,2020-01-13,Kevin服务好 酒店大 房间还做了升级 推荐入住,豪华大床房,0.0,0.8773000240325928,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['服务', '房间', '做', '升级', '推荐', '入住']",服务,37,1.0,17136,2
H37,2020-01-14,环境真的有点失望,高级双床房,6.0,0.5087000131607056,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验","['环境', '真的', '失望']",设施,37,-1.0,17137,1
H37,2020-01-14,lucky服务热情,高级大床房,1.0,0.7139000296592712,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['服务', '热情']",卫生,37,1.0,17138,2
H37,2020-01-14,前台helen服务态度很好,高级大床房,6.0,0.570900022983551,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验",['服务态度'],设施,37,1.5,17139,3
H37,2020-01-14,酒店楼层很高，风景独一无二，浴室落地窗很好,豪华大床房,2.0,0.6121000051498413,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['楼层', '高', '风景', '独一无二', '浴室', '落地窗']",位置,37,1.0,17140,2
H37,2020-01-17,非常好，特别是浴室，超喜欢,高级大床房,1.0,0.613099992275238,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['特别', '浴室', '超', '喜欢']",卫生,37,2.0,17141,4
H37,2020-01-17,性价比高，方便出差，房间非常舒适,高级大床房,5.0,0.6891000270843506,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['性价比', '高', '出差', '房间', '舒适']",性价比,37,1.0,17142,2
H37,2020-01-18,房间大 浴缸大 楼层高 舒服,高级大床房,3.0,0.8561000227928162,"住, 舒服, 房间, 感觉, 入住, 性价比, 下次, 太, 床, 高","['房间', '浴缸', '大楼', '层高', '舒服']",性价比,37,1.0,17143,2
H37,2020-01-18,lucky服务态度好很不错推荐,高级双床房,5.0,0.7853000164031982,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['服务态度', '不错', '推荐']",性价比,37,1.0,17144,2
H37,2020-01-19,地點好，房間大,高级双床房,0.0,0.3810000121593475,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['地點', '房間']",服务,37,1.5,17145,3
H37,2020-01-20,五個字都無法形容,尊享双床房,6.0,0.5353000164031982,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验","['五個', '字', '無法', '形容']",设施,37,1.5,17146,3
H37,2020-01-21,冲凉房排水堵了，水漫出了浴间,豪华大床房,3.0,0.6710000038146973,"住, 舒服, 房间, 感觉, 入住, 性价比, 下次, 太, 床, 高","['冲凉', '房', '排水', '堵', '水漫', '浴间']",性价比,37,1.5,17147,3
H37,2020-01-23,房间旧，空气不好不通风！不值这个价格,高级大床房,5.0,0.5521000027656555,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['房间', '旧', '空气', '不好', '通风', '不值', '价格']",性价比,37,-2.0,17148,1
H37,2020-01-23,非常好的一次体验。带老人来住，很满意。酒店地处闹市商业区，但视野开阔，周围商品市场发达，人流量大，让我们感受到新时代新**的风采！,高级大床房,0.0,0.3458999991416931,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['体验', '老人', '来住', '满意', '地处', '闹市', '商业区', '视野', '开阔', '商品', '市场', '发达', '人流量', '感受', '新', '时代', '新', '风采']",服务,37,2.0,17149,4
H37,2020-01-23,都很好！就是酒店地处闹市、批发市场，进出停车场费劲，难找到车位。不过整体环境视野特别棒，让我们看到新时代新**的美好形象！,高级大床房,5.0,0.2721000015735626,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['地处', '闹市', '批发市场', '进出', '停车场', '费劲', '难', '找到', '车位', '整体', '环境', '视野', '特别', '棒', '新', '时代', '新', '美好', '形象']",性价比,37,2.0,17150,4
H37,2020-01-26,房间大，比较干净,豪华大床房,1.0,0.713699996471405,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['房间', '干净']",卫生,37,1.5,17151,3
