酒店名称,评论日期,评论内容,入住房型,主题,评论对主题贡献度,主题关键字,评论分词,评价方面,酒店编号,emotional_value,index,情感等级
H23,2020-01-01,这个酒店干净，很舒服！其实酒店清洁卫生最重要！,商务双人房,1.0,0.3510000109672546,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['干净', '舒服', '清洁卫生']",卫生,23,1.0,12148,2
H23,2020-01-01,环境优雅，舒适！,商务双人房,5.0,0.4275999963283539,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['环境', '优雅', '舒适']",性价比,23,2.0,12149,4
H23,2020-01-01,感觉不错的,商务大床房,5.0,0.7132999897003174,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['感觉', '不错']",性价比,23,1.5,12150,3
H23,2020-01-01,4289254服务热情房间高大上,家庭套房,5.0,0.5401999950408936,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['服务', '热情', '房间', '高大']",性价比,23,1.0,12151,2
H23,2020-01-02,428.254服务热情，停车很方便,商务双人房,0.0,0.7851999998092651,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['服务', '热情', '停车']",服务,23,1.0,12152,2
H23,2020-01-02,428.254服务态度很好,商务双人房,6.0,0.570900022983551,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验",['服务态度'],设施,23,1.5,12153,3
H23,2020-01-02,428.254服务热气球，停车去方便好评,商务双人房,5.0,0.5291000008583069,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['服务', '热气球', '停车', '好评']",性价比,23,1.5,12154,3
H23,2020-01-02,428.254服务热情,商务双人房,1.0,0.7139000296592712,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['服务', '热情']",卫生,23,1.0,12155,2
H23,2020-01-02,老牌酒店，服务热情！早餐不错！当然可以楼下吃，停车方便，停车位置很大，位置在中心区域，买东西方便，很适合再过去住。,豪华大床房,5.0,0.5396000146865845,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['老牌', '服务', '热情', '早餐', '不错', '楼下', '吃', '停车', '停车', '位置', '很大', '位置', '中心', '区域', '东西', '适合', '住']",性价比,23,1.0,12156,2
H23,2020-01-03,不错，房间大,豪华双人房,5.0,0.7135999798774719,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['不错', '房间']",性价比,23,1.5,12157,3
H23,2020-01-03,428.254服务热情，免费帮忙升级房间,商务双人房,0.0,0.8773999810218811,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['服务', '热情', '免费', '帮忙', '升级', '房间']",服务,23,2.0,12158,4
H23,2020-01-03,305.359服务好好，酒店环境优越，床大舒适,商务双人房,5.0,0.8773000240325928,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['服务', '好好', '环境', '优越', '床', '舒适']",性价比,23,1.0,12159,2
H23,2020-01-03,早餐在2楼，很普通。建议住商旅楼。,江景行政双床房,2.0,0.8773000240325928,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['早餐', '楼', '建议', '住', '商旅', '楼']",位置,23,1.5,12160,3
